subjnum,TaskOrder,trial_num,trial_id,condition,block_Norm,p_efficient,p_engaged,n_fix
1,VST_first,151,1_6_187,VD,5,0.31667532977646246,0.6833246702235376,4
1,VST_first,152,1_6_188,CD,5,0.3331178114203555,0.6668821885796445,4
1,VST_first,153,1_6_189,CD,5,0.3220749108945792,0.6779250891054208,4
1,VST_first,154,1_6_190,VD,5,0.5169648619378224,0.4830351380621775,2
1,VST_first,155,1_6_191,CD,5,0.4295460456542589,0.5704539543457411,4
1,VST_first,157,1_7_193,VD,6,0.295271699136379,0.7047283008636209,4
1,VST_first,158,1_7_194,VD,6,0.5695375131662255,0.4304624868337745,4
1,VST_first,159,1_7_195,VD,6,0.5285033425235097,0.4714966574764904,4
1,VST_first,160,1_7_196,CD,6,0.3219659706624475,0.6780340293375525,4
1,VST_first,162,1_7_198,VD,6,0.1239446672100378,0.8760553327899623,4
1,VST_first,163,1_7_199,CD,6,0.5139100472513202,0.48608995274867983,2
1,VST_first,165,1_7_202,VD,6,0.2306007461395669,0.7693992538604331,4
1,VST_first,166,1_7_203,CD,6,0.3274184692005168,0.6725815307994831,4
1,VST_first,167,1_7_204,VD,6,0.3092720784592366,0.6907279215407633,4
1,VST_first,168,1_7_205,VD,6,0.10139700229153262,0.8986029977084674,3
1,VST_first,169,1_7_206,VD,6,0.335501640407152,0.664498359592848,5
1,VST_first,170,1_7_207,CD,6,0.21188873018141866,0.7881112698185814,4
1,VST_first,172,1_7_209,CD,6,0.33848568018643954,0.6615143198135605,4
1,VST_first,173,1_7_210,CD,6,0.49376599132961074,0.5062340086703893,5
1,VST_first,174,1_7_212,VD,6,0.11495639197434653,0.8850436080256534,3
1,VST_first,175,1_7_213,CD,6,0.10112289274832047,0.8988771072516796,4
1,VST_first,176,1_7_214,VD,6,0.1561259050675463,0.8438740949324537,4
1,VST_first,177,1_7_215,CD,6,0.6814560535503188,0.3185439464496812,3
1,VST_first,178,1_7_216,CD,6,0.49327871581489635,0.5067212841851036,4
1,VST_first,179,1_7_218,VD,6,0.1616166788296131,0.8383833211703868,4
1,VST_first,181,1_7_220,CD,6,0.4282049921170229,0.5717950078829771,3
1,VST_first,182,1_7_221,VD,6,0.6905479951912763,0.3094520048087237,3
1,VST_first,183,1_7_222,VD,6,0.14079576496299354,0.8592042350370065,3
1,VST_first,184,1_7_223,VD,6,0.29661394483589487,0.7033860551641051,5
1,VST_first,185,1_7_224,VD,6,0.15502963216485383,0.8449703678351461,4
1,VST_first,186,1_8_225,CD,7,0.4967023190788632,0.5032976809211368,5
1,VST_first,187,1_8_226,VD,7,0.18947986885703147,0.8105201311429685,4
1,VST_first,188,1_8_227,VD,7,0.11826137633651931,0.8817386236634808,4
1,VST_first,189,1_8_228,CD,7,0.24118900253248868,0.75881099746751135,5
1,VST_first,190,1_8_229,CD,7,0.5374988279299358,0.46250117207006425,5
1,VST_first,191,1_8_230,VD,7,0.3274380111334001,0.6725619888665999,4
1,VST_first,192,1_8_231,VD,7,0.10002262714575101,0.8999773728542491,3
1,VST_first,193,1_8_232,CD,7,0.3341304141096375,0.6658695858903625,4
1,VST_first,194,1_8_233,CD,7,0.4172236010092357,0.5827763989907644,4
1,VST_first,195,1_8_234,VD,7,0.27977568399894404,0.720224316001056,5
1,VST_first,196,1_8_235,CD,7,0.14393378437293358,0.8560662156270664,5
1,VST_first,197,1_8_236,CD,7,0.3287490371347158,0.6712509628652842,4
1,VST_first,198,1_8_237,VD,7,0.3027602079830472,0.6972397920169529,4
1,VST_first,199,1_8_238,VD,7,0.30197479205408284,0.6980252079459172,5
